learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.1,50.0,0.25,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,1.66
0.1,200.0,0.75,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,21.06
100.0,50.0,0.25,0.25,100.0,100.0,19260817.0,-1.3537781716174026e+195,-1.353911589589223e+195,-1.3524215708880012e+195,5.474073568722983e+96,5.474073568722984e+96,5.474073568722984e+96,2.4094703089704275e+112,2.409475941429678e+112,2.4094129732061287e+112,0.75
0.1,200.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100156112812361.3,100156346940676.58,100153729497133.86,18.49
0.0001,200.0,0.75,0.25,0.0,5.0,19260817.0,0.0041,0.0035,0.0035,0.1485,0.1485,0.1486,99481295455099.1,99507417196559.44,99488843501864.8,10.04
0.0001,200.0,0.25,0.25,0.0,5.0,19260817.0,0.0041,0.0035,0.0035,0.1485,0.1485,0.1486,99485540972710.48,99509556369523.38,99497569258877.92,4.08
0.1,200.0,0.75,0.25,0.0,100.0,19260817.0,1.0,0.0394,0.0076,0.0,0.1458,0.1483,102356083.1069,114739257338147.44,119400300193629.34,84.74
100.0,200.0,0.25,0.25,100.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37
100.0,200.0,0.75,0.25,100.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52
0.0001,200.0,0.75,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,22.05
0.1,50.0,0.75,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,6.53
0.0001,200.0,0.25,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,9.91
0.0001,50.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,0.96
